service_id,date,exception_type
"538_100962","20200408","1"
"538_100962","20200411","1"
"538_100962","20200415","1"
"538_100962","20200418","1"
"538_100962","20200422","1"
"538_100962","20200429","1"
"538_100962","20200502","1"
"538_100962","20200506","1"
"538_100962","20200509","1"
"538_100962","20200513","1"
"538_100962","20200516","1"
"538_100962","20200520","1"
"538_100962","20200523","1"
"538_100962","20200527","1"
"538_100962","20200530","1"
"538_100962","20200603","1"
"538_100962","20200606","1"
"538_100963","20191002","1"
"538_100963","20191009","1"
"538_100963","20191016","1"
"538_100963","20191023","1"
"538_100963","20191030","1"
"538_100963","20191106","1"
"538_100963","20191113","1"
"538_100963","20191120","1"
"538_100963","20191127","1"
"538_100963","20191204","1"
"538_100963","20191211","1"
"538_100963","20191218","1"
"538_100963","20200108","1"
"538_100963","20200115","1"
"538_100963","20200122","1"
"538_100963","20200129","1"
"538_100963","20200205","1"
"538_100963","20200212","1"
"538_100963","20200219","1"
"538_100963","20200226","1"
"538_100963","20200304","1"
"538_100963","20200311","1"
"538_100963","20200318","1"
"538_100963","20200325","1"
"538_100963","20200401","1"
"538_100963","20200408","1"
"538_100963","20200415","1"
"538_100963","20200422","1"
"538_100963","20200429","1"
"538_100963","20200506","1"
"538_100963","20200513","1"
"538_100963","20200520","1"
"538_100963","20200527","1"
"538_100963","20200603","1"
"538_100964","20191002","1"
"538_100964","20191009","1"
"538_100964","20191016","1"
"538_100964","20191023","1"
"538_100964","20191030","1"
"538_100964","20191106","1"
"538_100964","20191113","1"
"538_100964","20191120","1"
"538_100964","20191127","1"
"538_100964","20191204","1"
"538_100964","20191211","1"
"538_100964","20191218","1"
"538_100964","20200108","1"
"538_100964","20200115","1"
"538_100964","20200122","1"
"538_100964","20200129","1"
"538_100964","20200205","1"
"538_100964","20200212","1"
"538_100964","20200219","1"
"538_100964","20200226","1"
"538_100964","20200304","1"
"538_100964","20200311","1"
"538_100964","20200318","1"
"538_100964","20200325","1"
"538_100964","20200401","1"
"538_100964","20200408","1"
"538_100964","20200415","1"
"538_100964","20200422","1"
"538_100964","20200429","1"
"538_100964","20200506","1"
"538_100964","20200513","1"
"538_100964","20200520","1"
"538_100964","20200527","1"
"538_100964","20200603","1"
"538_100965","20191224","1"
"538_100965","20191227","1"
"538_100965","20191231","1"
"538_100965","20200102","1"
"538_100965","20200103","1"
"538_100965","20200409","1"
"538_100965","20200410","1"
"538_100965","20200414","1"
"538_100983","20191005","1"
"538_100983","20191012","1"
"538_100983","20191019","1"
"538_100983","20191026","1"
"538_100983","20191102","1"
"538_100983","20191109","1"
"538_100983","20191116","1"
"538_100983","20191123","1"
"538_100983","20191130","1"
"538_100983","20191207","1"
"538_100983","20191214","1"
"538_100983","20191221","1"
"538_100983","20191228","1"
"538_100983","20200104","1"
"538_100983","20200111","1"
"538_100983","20200118","1"
"538_100983","20200125","1"
"538_100983","20200201","1"
"538_100983","20200208","1"
"538_100983","20200215","1"
"538_100983","20200222","1"
"538_100983","20200229","1"
"538_100983","20200307","1"
"538_100983","20200314","1"
"538_100983","20200321","1"
"538_100983","20200328","1"
"538_100983","20200404","1"
"538_100983","20200411","1"
"538_100983","20200418","1"
"538_100983","20200502","1"
"538_100983","20200509","1"
"538_100983","20200516","1"
"538_100983","20200523","1"
"538_100983","20200530","1"
"538_100983","20200606","1"
"538_100984","20191005","1"
"538_100984","20191012","1"
"538_100984","20191019","1"
"538_100984","20191026","1"
"538_100984","20191102","1"
"538_100984","20191109","1"
"538_100984","20191116","1"
"538_100984","20191123","1"
"538_100984","20191130","1"
"538_100984","20191207","1"
"538_100984","20191214","1"
"538_100984","20191221","1"
"538_100984","20191228","1"
"538_100984","20200104","1"
"538_100984","20200111","1"
"538_100984","20200118","1"
"538_100984","20200125","1"
"538_100984","20200201","1"
"538_100984","20200208","1"
"538_100984","20200215","1"
"538_100984","20200222","1"
"538_100984","20200229","1"
"538_100984","20200307","1"
"538_100984","20200314","1"
"538_100984","20200321","1"
"538_100984","20200328","1"
"538_100984","20200404","1"
"538_100984","20200411","1"
"538_100984","20200418","1"
"538_100984","20200502","1"
"538_100984","20200509","1"
"538_100984","20200516","1"
"538_100984","20200523","1"
"538_100984","20200530","1"
"538_100984","20200606","1"
"538_100985","20191005","1"
"538_100985","20191012","1"
"538_100985","20191019","1"
"538_100985","20191026","1"
"538_100985","20191102","1"
"538_100985","20191109","1"
"538_100985","20191116","1"
"538_100985","20191123","1"
"538_100985","20191130","1"
"538_100985","20191207","1"
"538_100985","20191214","1"
"538_100985","20191221","1"
"538_100985","20191228","1"
"538_100985","20200104","1"
"538_100985","20200111","1"
"538_100985","20200118","1"
"538_100985","20200125","1"
"538_100985","20200201","1"
"538_100985","20200208","1"
"538_100985","20200215","1"
"538_100985","20200222","1"
"538_100985","20200229","1"
"538_100985","20200307","1"
"538_100985","20200314","1"
"538_100985","20200321","1"
"538_100985","20200328","1"
"538_100985","20200404","1"
"538_100985","20200411","1"
"538_100985","20200418","1"
"538_100985","20200502","1"
"538_100985","20200509","1"
"538_100985","20200516","1"
"538_100985","20200523","1"
"538_100985","20200530","1"
"538_100985","20200606","1"
"538_100988","20191005","1"
"538_100988","20191012","1"
"538_100988","20191019","1"
"538_100988","20191026","1"
"538_100988","20191102","1"
"538_100988","20191109","1"
"538_100988","20191116","1"
"538_100988","20191123","1"
"538_100988","20191130","1"
"538_100988","20191207","1"
"538_100988","20191214","1"
"538_100988","20191221","1"
"538_100988","20191228","1"
"538_100988","20200104","1"
"538_100988","20200111","1"
"538_100988","20200118","1"
"538_100988","20200125","1"
"538_100988","20200201","1"
"538_100988","20200208","1"
"538_100988","20200215","1"
"538_100988","20200222","1"
"538_100988","20200229","1"
"538_100988","20200307","1"
"538_100988","20200314","1"
"538_100988","20200321","1"
"538_100988","20200328","1"
"538_100988","20200404","1"
"538_100988","20200411","1"
"538_100988","20200418","1"
"538_100988","20200502","1"
"538_100988","20200509","1"
"538_100988","20200516","1"
"538_100988","20200523","1"
"538_100988","20200530","1"
"538_100988","20200606","1"
